DER Name,Bus Location,Phase Connection,Bid Price (¢/kWh),Offer Price (¢/kWh),Quantity (kW)
DER_1,Bus1,"['A', 'C']",11.0,,-31.0
DER_2,Bus1,['C'],,7.0,34.0
DER_3,Bus1,['B'],15.0,,-23.0
DER_4,Bus1,"['A', 'C']",,18.0,21.0
DER_5,Bus2,['B'],13.0,,-13.0
DER_6,Bus2,['B'],,8.0,27.0
DER_7,Bus2,['B'],14.0,,-12.0
DER_8,Bus3,['C'],12.0,,-15.0
DER_9,Bus3,['C'],,7.0,16.0
DER_10,Bus3,['C'],12.0,,-23.0
DER_11,Bus4,['C'],12.0,,-15.0
DER_12,Bus4,['C'],12.0,,-15.0
DER_13,Bus5,['C'],,7.0,12.0
DER_14,Bus5,['C'],10.0,,-38.0
DER_15,Bus5,['C'],,7.0,13.0
DER_16,Bus5,['C'],,5.0,13.0
DER_17,Bus5,['C'],12.0,,-28.0
DER_18,Bus5,['C'],5.0,,-23.0
DER_19,Bus6,['C'],2.0,,-21.0
DER_20,Bus6,['C'],12.0,,-41.0
DER_21,Bus7,"['A', 'C']",13.0,,-29.0
DER_22,Bus7,['B'],,20.0,34.0
DER_23,Bus7,"['A', 'B', 'C']",2.0,,-20.0
DER_24,Bus8,"['A', 'B']",24.0,,-18.0
DER_25,Bus8,"['A', 'C']",19.0,,-22.0
DER_26,Bus8,['B'],,18.0,20.0
DER_27,Bus9,['A'],,8.0,10.0
DER_28,Bus9,['A'],9.0,,-15.0
DER_29,Bus9,['A'],,23.0,24.0
DER_30,Bus10,['A'],19.0,,-22.0
DER_31,Bus10,['A'],,17.0,29.0
DER_32,Bus11,['A'],22.0,,-34.0
DER_33,Bus11,['A'],19.0,,-10.0
DER_34,Bus11,['A'],,13.0,7.0
DER_35,Bus12,['B'],15.0,,-29.0
DER_36,Bus12,['B'],,8.0,13.0
DER_37,Bus12,['B'],13.0,,-15.0
DER_38,Bus13,"['B', 'C']",,7.0,17.0
DER_39,Bus14,['A'],,17.0,21.0
DER_40,Bus14,['A'],16.0,,-35.0
DER_41,Bus14,['A'],,22.0,10.0
DER_42,Bus15,['C'],,7.0,17.0
DER_43,Bus15,['C'],9.0,,-18.0
DER_44,Bus15,['C'],,7.0,37.0
DER_45,Bus15,['C'],,7.0,6.0
DER_46,Bus16,['C'],12.0,,-10.0
DER_47,Bus17,['C'],,7.0,31.0
DER_48,Bus17,['C'],,7.0,20.0
DER_49,Bus17,['C'],,7.0,6.0
DER_50,Bus17,['C'],12.0,,-19.0
DER_51,Bus17,['C'],,7.0,29.0
DER_52,Bus18,"['A', 'C']",7.0,,-13.0
DER_53,Bus18,['A'],,14.0,26.0
DER_54,Bus19,['A'],,13.0,17.0
DER_55,Bus19,['A'],,21.0,37.0
DER_56,Bus19,['A'],,14.0,33.0
DER_57,Bus19,['A'],13.0,,-9.0
DER_58,Bus19,['A'],,15.0,25.0
DER_59,Bus19,['A'],,21.0,38.0
DER_60,Bus20,['A'],18.0,,-27.0
DER_61,Bus20,['A'],18.0,,-26.0
DER_62,Bus21,['B'],,18.0,39.0
DER_63,Bus21,"['B', 'C']",,7.0,9.0
DER_64,Bus21,['B'],,11.0,14.0
DER_65,Bus21,['B'],13.0,,-29.0
DER_66,Bus22,['B'],7.0,,-20.0
DER_67,Bus22,['B'],19.0,,-15.0
DER_68,Bus22,['B'],13.0,,-15.0
DER_69,Bus22,['B'],,8.0,29.0
DER_70,Bus22,['B'],13.0,,-13.0
DER_71,Bus22,['B'],,19.0,29.0
DER_72,Bus22,['B'],16.0,,-34.0
DER_73,Bus22,['B'],13.0,,-38.0
DER_74,Bus23,"['B', 'C']",12.0,,-16.0
DER_75,Bus23,['A'],19.0,,-25.0
DER_76,Bus23,['C'],12.0,,-10.0
DER_77,Bus23,"['B', 'C']",12.0,,-20.0
DER_78,Bus23,['C'],,7.0,14.0
DER_79,Bus24,['C'],,6.0,22.0
DER_80,Bus24,['C'],12.0,,-32.0
DER_81,Bus24,['C'],12.0,,-19.0
DER_82,Bus24,['C'],,7.0,21.0
DER_83,Bus24,['C'],,7.0,28.0
DER_84,Bus24,['C'],12.0,,-14.0
DER_85,Bus24,['C'],12.0,,-27.0
DER_86,Bus24,['C'],,7.0,42.0
DER_87,Bus25,['A'],,11.0,19.0
DER_88,Bus26,['A'],14.0,,-16.0
DER_89,Bus26,['C'],,7.0,20.0
DER_90,Bus26,['C'],12.0,,-15.0
DER_91,Bus26,['C'],9.0,,-16.0
DER_92,Bus26,"['A', 'C']",9.0,,-16.0
DER_93,Bus27,"['A', 'C']",17.0,,-23.0
DER_94,Bus27,['A'],25.0,,-22.0
DER_95,Bus27,['C'],,7.0,24.0
DER_96,Bus27,['A'],,18.0,24.0
DER_97,Bus27,['A'],,16.0,23.0
DER_98,Bus28,"['B', 'C']",,7.0,28.0
DER_99,Bus28,['B'],16.0,,-16.0
DER_100,Bus29,"['A', 'C']",13.0,,-9.0
DER_101,Bus29,"['A', 'B', 'C']",13.0,,-6.0
DER_102,Bus31,['C'],10.0,,-8.0
DER_103,Bus31,['C'],,7.0,17.0
DER_104,Bus32,['C'],,7.0,28.0
DER_105,Bus32,['C'],12.0,,-12.0
DER_106,Bus32,['C'],,7.0,27.0
DER_107,Bus32,['C'],,7.0,24.0
DER_108,Bus33,['A'],,15.0,12.0
DER_109,Bus33,['A'],,17.0,41.0
DER_110,Bus33,['A'],18.0,,-13.0
DER_111,Bus33,['A'],9.0,,-35.0
DER_112,Bus33,['A'],21.0,,-27.0
DER_113,Bus34,['C'],,7.0,12.0
DER_114,Bus34,['C'],,7.0,13.0
DER_115,Bus35,"['A', 'B']",13.0,,-19.0
DER_116,Bus35,"['A', 'C']",1.0,,-30.0
DER_117,Bus36,['B'],,10.0,27.0
DER_118,Bus36,['A'],16.0,,-28.0
DER_119,Bus36,"['A', 'B']",16.0,,-37.0
DER_120,Bus36,['B'],13.0,,-21.0
DER_121,Bus36,['B'],,13.0,27.0
DER_122,Bus36,['B'],13.0,,-29.0
DER_123,Bus36,['A'],8.0,,-14.0
DER_124,Bus37,['A'],,14.0,11.0
DER_125,Bus37,['A'],11.0,,-30.0
DER_126,Bus38,['B'],13.0,,-14.0
DER_127,Bus38,['B'],20.0,,-23.0
DER_128,Bus38,['B'],,17.0,32.0
DER_129,Bus38,['B'],18.0,,-15.0
DER_130,Bus38,['B'],4.0,,-22.0
DER_131,Bus38,['B'],18.0,,-29.0
DER_132,Bus38,['B'],,11.0,24.0
DER_133,Bus39,['B'],22.0,,-15.0
DER_134,Bus39,['B'],,12.0,19.0
DER_135,Bus39,['B'],,16.0,42.0
DER_136,Bus39,['B'],,16.0,32.0
DER_137,Bus40,['C'],12.0,,-20.0
DER_138,Bus40,"['B', 'C']",12.0,,-17.0
DER_139,Bus40,"['A', 'B', 'C']",19.0,,-13.0
DER_140,Bus40,"['B', 'C']",10.0,,-14.0
DER_141,Bus40,['A'],17.0,,-18.0
DER_142,Bus40,"['A', 'B']",,11.0,17.0
DER_143,Bus41,['C'],,7.0,19.0
DER_144,Bus41,['C'],12.0,,-19.0
DER_145,Bus41,['C'],12.0,,-7.0
DER_146,Bus41,['C'],12.0,,-9.0
DER_147,Bus41,['C'],,7.0,31.0
DER_148,Bus42,"['B', 'C']",,7.0,30.0
DER_149,Bus43,['B'],13.0,,-18.0
DER_150,Bus43,['B'],21.0,,-19.0
DER_151,Bus43,['B'],22.0,,-37.0
DER_152,Bus44,"['A', 'B']",,8.0,19.0
DER_153,Bus44,['A'],16.0,,-17.0
DER_154,Bus44,"['A', 'B', 'C']",13.0,,-17.0
DER_155,Bus44,['C'],11.0,,-7.0
DER_156,Bus44,['A'],,18.0,44.0
DER_157,Bus44,['B'],,8.0,31.0
DER_158,Bus45,['A'],15.0,,-6.0
DER_159,Bus45,['A'],8.0,,-21.0
DER_160,Bus45,['A'],9.0,,-16.0
DER_161,Bus45,['A'],,12.0,38.0
DER_162,Bus45,['A'],,15.0,16.0
DER_163,Bus45,['A'],,22.0,38.0
DER_164,Bus45,['A'],,18.0,11.0
DER_165,Bus46,['A'],,21.0,19.0
DER_166,Bus46,['A'],19.0,,-26.0
DER_167,Bus46,['A'],,17.0,28.0
DER_168,Bus46,['A'],,19.0,20.0
DER_169,Bus46,['A'],,15.0,10.0
DER_170,Bus46,['A'],,13.0,32.0
DER_171,Bus46,['A'],11.0,,-27.0
DER_172,Bus47,['C'],,7.0,13.0
DER_173,Bus47,['C'],,7.0,25.0
DER_174,Bus47,"['A', 'C']",23.0,,-18.0
DER_175,Bus47,['B'],18.0,,-30.0
DER_176,Bus47,"['A', 'B', 'C']",,13.0,14.0
DER_177,Bus47,"['A', 'C']",13.0,,-24.0
DER_178,Bus47,['C'],,7.0,31.0
DER_179,Bus48,"['B', 'C']",12.0,,-28.0
DER_180,Bus48,"['B', 'C']",12.0,,-21.0
DER_181,Bus48,['C'],12.0,,-20.0
DER_182,Bus48,['A'],,16.0,17.0
DER_183,Bus48,"['A', 'B', 'C']",14.0,,-8.0
DER_184,Bus49,"['A', 'B', 'C']",15.0,,-20.0
DER_185,Bus49,['A'],,12.0,13.0
DER_186,Bus49,"['B', 'C']",,7.0,16.0
DER_187,Bus49,['B'],,13.0,29.0
DER_188,Bus50,"['A', 'B']",,21.0,34.0
DER_189,Bus50,"['B', 'C']",12.0,,-33.0
DER_190,Bus52,['A'],,16.0,44.0
DER_191,Bus52,"['B', 'C']",,7.0,27.0
DER_192,Bus52,['A'],16.0,,-21.0
DER_193,Bus52,"['A', 'B']",,18.0,30.0
DER_194,Bus53,['C'],,7.0,17.0
DER_195,Bus53,['B'],13.0,,-23.0
DER_196,Bus53,"['A', 'B']",6.0,,-29.0
DER_197,Bus53,['C'],,7.0,19.0
DER_198,Bus54,"['A', 'C']",17.0,,-37.0
DER_199,Bus54,"['A', 'C']",,19.0,25.0
DER_200,Bus54,['A'],11.0,,-38.0
DER_201,Bus54,['B'],13.0,,-33.0
DER_202,Bus54,"['A', 'B']",,15.0,25.0
DER_203,Bus54,"['A', 'C']",,21.0,8.0
DER_204,Bus54,"['A', 'C']",12.0,,-13.0
DER_205,Bus54,['C'],7.0,,-17.0
DER_206,Bus56,['C'],12.0,,-15.0
DER_207,Bus56,"['A', 'C']",9.0,,-36.0
DER_208,Bus57,['B'],,15.0,20.0
DER_209,Bus57,['A'],,17.0,29.0
DER_210,Bus58,['B'],13.0,,-13.0
DER_211,Bus58,['B'],,14.0,30.0
DER_212,Bus59,['B'],22.0,,-13.0
DER_213,Bus59,['B'],,17.0,20.0
DER_214,Bus59,['B'],20.0,,-16.0
DER_215,Bus60,"['A', 'B']",,12.0,6.0
DER_216,Bus60,['B'],,20.0,12.0
DER_217,Bus60,"['A', 'B', 'C']",13.0,,-15.0
DER_218,Bus60,['B'],,21.0,9.0
DER_219,Bus60,"['A', 'B']",,13.0,25.0
DER_220,Bus61,['A'],,10.0,23.0
DER_221,Bus61,"['A', 'B', 'C']",14.0,,-6.0
DER_222,Bus61,['A'],16.0,,-17.0
DER_223,Bus61,['A'],11.0,,-39.0
DER_224,Bus61,"['A', 'C']",20.0,,-20.0
DER_225,Bus62,"['B', 'C']",12.0,,-6.0
DER_226,Bus62,"['A', 'B']",,18.0,15.0
DER_227,Bus62,['B'],15.0,,-24.0
DER_228,Bus62,['B'],18.0,,-12.0
DER_229,Bus62,"['A', 'C']",8.0,,-28.0
DER_230,Bus62,"['A', 'B', 'C']",7.0,,-19.0
DER_231,Bus63,['C'],,6.0,14.0
DER_232,Bus63,['B'],13.0,,-30.0
DER_233,Bus63,"['B', 'C']",,7.0,15.0
DER_234,Bus64,"['A', 'B', 'C']",,16.0,21.0
DER_235,Bus64,"['A', 'B']",8.0,,-17.0
DER_236,Bus65,['B'],18.0,,-11.0
DER_237,Bus65,['B'],13.0,,-17.0
DER_238,Bus66,['A'],3.0,,-28.0
DER_239,Bus66,"['A', 'B']",14.0,,-24.0
DER_240,Bus66,"['B', 'C']",12.0,,-28.0
DER_241,Bus66,['B'],17.0,,-18.0
DER_242,Bus67,"['A', 'B', 'C']",,9.0,19.0
DER_243,Bus67,"['B', 'C']",3.0,,-9.0
DER_244,Bus67,"['A', 'C']",19.0,,-21.0
DER_245,Bus68,['A'],,19.0,27.0
DER_246,Bus68,['A'],15.0,,-26.0
DER_247,Bus68,['A'],22.0,,-36.0
DER_248,Bus69,['A'],,12.0,33.0
DER_249,Bus69,['A'],15.0,,-14.0
DER_250,Bus70,['A'],,14.0,23.0
DER_251,Bus70,['A'],,21.0,33.0
DER_252,Bus70,['A'],16.0,,-29.0
DER_253,Bus70,['A'],,15.0,10.0
DER_254,Bus71,['A'],12.0,,-26.0
DER_255,Bus71,['A'],,18.0,25.0
DER_256,Bus71,['A'],2.0,,-25.0
DER_257,Bus71,['A'],24.0,,-14.0
DER_258,Bus71,['A'],,18.0,13.0
DER_259,Bus71,['A'],18.0,,-35.0
DER_260,Bus71,['A'],11.0,,-30.0
DER_261,Bus72,"['A', 'B', 'C']",13.0,,-32.0
DER_262,Bus73,['C'],6.0,,-27.0
DER_263,Bus74,['C'],,7.0,18.0
DER_264,Bus75,['C'],10.0,,-29.0
DER_265,Bus75,['C'],,7.0,17.0
DER_266,Bus75,['C'],12.0,,-15.0
DER_267,Bus75,['C'],11.0,,-27.0
DER_268,Bus76,"['A', 'B']",,16.0,28.0
DER_269,Bus76,"['B', 'C']",10.0,,-22.0
DER_270,Bus76,['B'],,8.0,10.0
DER_271,Bus76,"['A', 'C']",,14.0,23.0
DER_272,Bus76,['C'],12.0,,-22.0
DER_273,Bus77,"['B', 'C']",8.0,,-18.0
DER_274,Bus77,"['B', 'C']",,7.0,36.0
DER_275,Bus77,['C'],,7.0,21.0
DER_276,Bus78,['A'],22.0,,-15.0
DER_277,Bus79,['C'],12.0,,-28.0
DER_278,Bus79,"['A', 'B', 'C']",,8.0,9.0
DER_279,Bus79,['B'],,13.0,14.0
DER_280,Bus79,"['A', 'B']",10.0,,-22.0
DER_281,Bus80,['B'],,17.0,20.0
DER_282,Bus80,"['A', 'C']",,17.0,16.0
DER_283,Bus80,"['A', 'B', 'C']",,13.0,11.0
DER_284,Bus80,"['A', 'C']",,11.0,20.0
DER_285,Bus80,"['A', 'B']",,19.0,20.0
DER_286,Bus80,"['A', 'B']",20.0,,-35.0
DER_287,Bus80,['B'],,18.0,28.0
DER_288,Bus81,['C'],4.0,,-26.0
DER_289,Bus81,['C'],6.0,,-27.0
DER_290,Bus81,['A'],12.0,,-9.0
DER_291,Bus81,['C'],12.0,,-13.0
DER_292,Bus81,"['A', 'C']",,23.0,28.0
DER_293,Bus82,"['A', 'B']",,21.0,24.0
DER_294,Bus82,"['A', 'C']",13.0,,-26.0
DER_295,Bus83,"['A', 'B', 'C']",14.0,,-27.0
DER_296,Bus83,"['B', 'C']",,7.0,8.0
DER_297,Bus84,['C'],10.0,,-19.0
DER_298,Bus84,['C'],6.0,,-17.0
DER_299,Bus84,['C'],12.0,,-13.0
DER_300,Bus84,['C'],,6.0,24.0
DER_301,Bus84,['C'],,7.0,26.0
DER_302,Bus85,['C'],,7.0,33.0
DER_303,Bus85,['C'],12.0,,-22.0
DER_304,Bus86,['C'],12.0,,-36.0
DER_305,Bus86,"['A', 'C']",13.0,,-25.0
DER_306,Bus86,"['A', 'C']",,13.0,25.0
DER_307,Bus86,"['B', 'C']",,7.0,28.0
DER_308,Bus87,"['A', 'B', 'C']",16.0,,-20.0
DER_309,Bus87,"['B', 'C']",,7.0,12.0
DER_310,Bus87,"['A', 'C']",,9.0,12.0
DER_311,Bus88,['A'],,22.0,25.0
DER_312,Bus88,['A'],21.0,,-23.0
DER_313,Bus89,['C'],11.0,,-6.0
DER_314,Bus89,"['A', 'B']",15.0,,-39.0
DER_315,Bus89,"['B', 'C']",,7.0,9.0
DER_316,Bus89,['B'],,13.0,11.0
DER_317,Bus89,"['A', 'C']",12.0,,-25.0
DER_318,Bus89,['A'],12.0,,-21.0
DER_319,Bus89,"['A', 'C']",13.0,,-19.0
DER_320,Bus89,['B'],,13.0,23.0
DER_321,Bus89,"['A', 'B']",,8.0,43.0
DER_322,Bus90,['B'],13.0,,-8.0
DER_323,Bus90,['B'],,21.0,18.0
DER_324,Bus91,"['B', 'C']",3.0,,-15.0
DER_325,Bus91,['A'],,19.0,27.0
DER_326,Bus91,"['A', 'B']",17.0,,-30.0
DER_327,Bus91,"['A', 'B', 'C']",,15.0,34.0
DER_328,Bus92,['C'],,7.0,21.0
DER_329,Bus92,['C'],12.0,,-22.0
DER_330,Bus92,['C'],,7.0,17.0
DER_331,Bus93,['C'],,7.0,21.0
DER_332,Bus93,"['A', 'B', 'C']",13.0,,-24.0
DER_333,Bus93,"['A', 'B']",10.0,,-27.0
DER_334,Bus93,"['A', 'B']",13.0,,-21.0
DER_335,Bus94,['A'],,13.0,31.0
DER_336,Bus94,['A'],,10.0,31.0
DER_337,Bus94,['A'],17.0,,-13.0
DER_338,Bus94,['A'],,10.0,15.0
DER_339,Bus95,"['A', 'C']",,14.0,36.0
DER_340,Bus95,"['A', 'B', 'C']",,19.0,16.0
DER_341,Bus95,['A'],,15.0,8.0
DER_342,Bus95,['B'],19.0,,-26.0
