,,Active Power (kW),Reactive Power (kVAr)
Bus149,Bus1,2428.5633427651305,1365.3469234479485
Bus1,Bus2,35.0,17.108052620946314
Bus1,Bus3,-3.9999999999999942,51.15339366124403
Bus3,Bus4,20.000000000000004,10.0
Bus3,Bus5,-7.999999999999996,33.4042399838384
Bus5,Bus6,20.000000000000004,10.0
Bus1,Bus7,2408.5633427651305,1259.4791171900006
Bus7,Bus8,2379.5633427651305,1268.5244582302985
Bus8,Bus9,131.0,-23.916532588623113
Bus14,Bus10,32.0,-5.655086306432756
Bus14,Bus11,64.0,-11.310172612865514
Bus8,Bus12,54.0,26.31017261286551
Bus8,Bus13,2154.5633427651305,1285.5037023995699
Bus9,Bus14,131.0,-33.91653258862311
Bus34,Bus15,-116.00000000000001,85.71102730632647
Bus15,Bus16,20.000000000000004,10.0
Bus15,Bus17,-76.00000000000001,46.65170101605532
Bus13,Bus18,832.5,557.4746103221693
Bus18,Bus19,102.00000000000001,-10.02797049994686
Bus19,Bus20,73.00000000000001,-15.669071556406188
Bus18,Bus21,154.0,242.41866932227552
Bus21,Bus22,135.0,65.69704205635304
Bus21,Bus23,-1.0,158.31738728208407
Bus23,Bus24,-93.0,64.72839784667734
Bus23,Bus25,81.00000000000001,98.91653258862308
Bus25,Bus26,1.0,38.88856208867626
Bus26,Bus27,81.0,-19.543648395109006
Bus25,Bus28,80.00000000000001,60.02797049994686
Bus28,Bus29,72.00000000000001,28.717797887081343
Bus29,Bus30,37.0,25.98262945964913
Bus26,Bus31,-75.99999999999999,56.494922064433844
Bus31,Bus32,-69.0,43.261446282190356
Bus27,Bus33,60.0,-9.372884193514103
Bus13,Bus34,-121.00000000000001,107.8190799272728
Bus135,Bus35,598.5000000000001,314.4288251934079
Bus35,Bus36,251.0,59.23009049186606
Bus36,Bus37,20.000000000000004,10.0
Bus36,Bus38,116.00000000000001,56.494922064433844
Bus38,Bus39,25.000000000000004,12.264831572567788
Bus35,Bus40,308.5000000000001,254.40085469346104
Bus40,Bus41,-40.0,29.21610524189263
Bus40,Bus42,317.50000000000006,240.1987347015418
Bus42,Bus43,94.0,45.839835758001094
Bus42,Bus44,243.50000000000006,174.82923579840514
Bus44,Bus45,52.0,-5.498307354811284
Bus45,Bus46,36.0,-7.592374725784168
Bus44,Bus47,157.50000000000003,196.79449471770337
Bus47,Bus48,8.0,71.12542316129719
Bus47,Bus49,94.0,60.562711580648596
Bus49,Bus50,20.000000000000004,15.0
Bus50,Bus51,0.0,5.0
Bus152,Bus52,1432.0633427651305,605.1960269001544
Bus52,Bus53,1438.0633427651303,592.2900942711273
Bus53,Bus54,1451.0633427651303,553.715090085694
Bus54,Bus55,20.0,10.0
Bus55,Bus56,10.0,5.0
Bus54,Bus57,1361.0633427651305,545.6523785050454
Bus57,Bus58,62.0,30.341528403189812
Bus58,Bus59,39.0,19.045341040297725
Bus57,Bus60,1299.0633427651305,515.3108501018555
Bus60,Bus61,29.000000000000004,-14.045341040297727
Bus60,Bus62,198.0,173.2894167821372
Bus62,Bus63,142.0,145.85382100797455
Bus63,Bus64,121.0,107.27881682254123
Bus64,Bus65,83.5,89.77881682254122
Bus65,Bus66,55.5,26.21779788708135
Bus160,Bus67,973.0633427651306,394.1714416905849
Bus67,Bus68,214.0,-44.5856041450293
Bus68,Bus69,142.0,-19.557633645082444
Bus69,Bus70,108.0,-22.777124177352505
Bus70,Bus71,69.0,-13.731783137054776
Bus67,Bus72,323.06334276513064,271.6070374647476
Bus72,Bus73,25.000000000000004,46.95127366932484
Bus73,Bus74,5.0,36.95127366932484
Bus74,Bus75,3.0000000000000004,18.23347578224349
Bus72,Bus76,266.06334276513064,240.15407115023402
Bus76,Bus77,75.0,81.79449471770336
Bus77,Bus78,112.0,44.18813474194577
Bus78,Bus79,20.000000000000004,10.0
Bus78,Bus80,77.0,41.45296631451355
Bus80,Bus81,22.000000000000004,48.404239983838394
Bus81,Bus82,75.0,-6.794494717703367
Bus82,Bus83,29.000000000000007,-4.202119991919199
Bus81,Bus84,-53.0,55.19873470154176
Bus84,Bus85,-13.0,25.982629459649132
Bus76,Bus86,191.06334276513059,68.35957643253067
Bus86,Bus87,184.06334276513059,61.9066101180171
Bus87,Bus88,43.0,-1.1394084112706093
Bus87,Bus89,113.06334276513061,56.920595367990536
Bus89,Bus90,28.0,13.87457683870282
Bus89,Bus91,75.0633427651306,47.88923957766624
Bus91,Bus92,-18.0,28.404239983838398
Bus91,Bus93,82.0,24.84322104837852
Bus93,Bus94,33.0,3.703812637107916
Bus93,Bus95,46.0,22.59237472578417
Bus95,Bus96,10.0,5.0
Bus67,Bus97,415.0,177.32077257246152
Bus97,Bus98,219.0,12.080082120999453
Bus98,Bus99,182.0,10.313557903242945
Bus99,Bus100,114.0,3.2194905322700667
Bus197,Bus101,153.0,167.6623009756513
Bus101,Bus102,-37.99999999999999,67.62034522573104
Bus102,Bus103,-10.999999999999998,44.700427346730486
Bus103,Bus104,20.000000000000004,10.0
Bus101,Bus105,172.0,109.24407574183948
Bus105,Bus106,75.0,36.95127366932484
Bus106,Bus107,36.0,17.74915367740564
Bus105,Bus108,72.0,60.18474945156833
Bus108,Bus109,70.0,35.0
Bus109,Bus110,50.0,25.0
Bus110,Bus111,10.0,5.0
Bus110,Bus112,40.0,20.0
Bus112,Bus113,30.0,15.0
Bus113,Bus114,10.0,5.0
Bus18,Bus135,576.5000000000001,325.0839114998406
Bus0,Bus149,2446.5633427651305,1374.0647213499606
Bus51,Bus151,0.0,0.0
Bus13,Bus152,1460.0633427651305,611.9765363678841
Bus60,Bus160,1047.0633427651305,358.33160593258384
Bus97,Bus197,172.00000000000003,176.86442096757054
Bus30,Bus250,16.999999999999996,15.98262945964913
Bus108,Bus300,1.9999999999999982,25.184749451568333
Bus100,Bus450,81.00000000000001,-39.23009049186605
Bus61,Bus610,-14.0,6.780509467729936
