,,Margin (%)
Bus7,Bus8,16.828585621413595
Bus1,Bus7,17.713475150419512
Bus0,Bus149,19.078068726351983
Bus149,Bus1,19.963890513385184
Bus8,Bus13,24.187891617379076
Bus13,Bus152,54.29909633195034
Bus152,Bus52,54.79354376823571
Bus53,Bus54,55.093007860227814
Bus52,Bus53,55.41528059594525
Bus57,Bus60,56.186872547469946
Bus54,Bus57,56.59264855820085
Bus67,Bus68,58.77875589910539
Bus60,Bus160,59.06252580167415
Bus160,Bus67,61.355332083203294
Bus13,Bus18,66.03155160108155
Bus60,Bus62,72.50195921638904
Bus68,Bus69,72.85525865224616
Bus13,Bus34,72.93387268614363
Bus21,Bus22,74.57782591328814
Bus34,Bus15,75.92554605771866
Bus9,Bus14,76.39891112673034
Bus8,Bus9,76.83841433999088
Bus135,Bus35,77.58071569995127
Bus18,Bus135,77.58101561311234
Bus36,Bus38,77.89774890202563
Bus62,Bus63,78.9448651639225
Bus69,Bus70,79.01114628644667
Bus23,Bus24,80.92544923459684
Bus18,Bus19,81.34401774153118
Bus42,Bus43,82.14301762759585
Bus63,Bus64,83.66223803097144
Bus26,Bus31,84.01626292846021
Bus18,Bus21,84.88248324878884
Bus15,Bus17,85.12227290104792
Bus108,Bus109,85.12942442382403
Bus21,Bus23,85.13421604830805
Bus105,Bus106,85.57072002616337
Bus67,Bus97,86.04042355299781
Bus31,Bus32,86.26382896640966
Bus19,Bus20,86.37296042472529
Bus67,Bus72,86.50630791586468
Bus70,Bus71,86.57504351110617
Bus101,Bus102,86.65768926551732
Bus81,Bus84,86.7383123064554
Bus72,Bus76,87.08868130763611
Bus57,Bus58,88.2630835588115
Bus35,Bus40,88.39478949780207
Bus40,Bus42,88.50115236695126
Bus14,Bus11,88.6098115909714
Bus27,Bus33,88.81375170952356
Bus35,Bus36,89.21880726164612
Bus109,Bus110,89.32164864752869
Bus8,Bus12,90.00365836626771
Bus44,Bus45,90.3758360798748
Bus64,Bus65,90.39911450592675
Bus23,Bus25,90.4899933190437
Bus72,Bus73,90.8297874903521
Bus97,Bus197,91.36211978225109
Bus110,Bus112,91.43562116007816
Bus1,Bus3,91.54502415947985
Bus42,Bus44,91.6470461664958
Bus40,Bus41,91.68718132199898
Bus87,Bus88,91.79708428328412
Bus102,Bus103,92.07835432967333
Bus197,Bus101,92.52300828729383
Bus58,Bus59,92.60299114287203
Bus101,Bus105,92.65355579935276
Bus76,Bus86,92.74495404999968
Bus25,Bus26,92.96798368121617
Bus106,Bus107,93.05518170809029
Bus65,Bus66,93.17177160108841
Bus45,Bus46,93.22083781676757
Bus86,Bus87,93.52406726131836
Bus73,Bus74,93.5595286450164
Bus112,Bus113,93.57127304478988
Bus1,Bus2,93.57636609158368
Bus93,Bus94,93.65357841675329
Bus44,Bus47,93.80104461625523
Bus91,Bus92,94.19695536951883
Bus77,Bus78,94.23846895278898
Bus76,Bus77,94.25164392406293
Bus97,Bus98,94.26944982579182
Bus26,Bus27,94.28922853222215
Bus14,Bus10,94.30490579548571
Bus3,Bus5,94.3343669629311
Bus98,Bus99,94.60929201593378
Bus89,Bus90,94.61219595335253
Bus84,Bus85,94.96806398956669
Bus87,Bus89,95.09205842392221
Bus38,Bus39,95.20898763841682
Bus105,Bus108,95.25027966383641
Bus36,Bus37,95.90029679983209
Bus103,Bus104,96.14869590429967
Bus15,Bus16,96.26944888283612
Bus5,Bus6,96.3093660077075
Bus3,Bus4,96.31174204235839
Bus78,Bus80,96.33652286691469
Bus99,Bus100,96.3700312137654
Bus89,Bus91,96.59835854204562
Bus100,Bus450,96.61669880928669
Bus74,Bus75,96.80408003802276
Bus80,Bus81,96.83131547511194
Bus91,Bus93,96.84630362322434
Bus25,Bus28,96.85476494164708
Bus93,Bus95,97.17091549356869
Bus81,Bus82,97.43677659108171
Bus47,Bus49,97.68441828157522
Bus113,Bus114,97.8513558977131
Bus110,Bus111,97.85890529001954
Bus95,Bus96,98.06936559407309
Bus60,Bus61,98.0724191687844
Bus28,Bus29,98.12811862865874
Bus30,Bus250,98.29746608825937
Bus29,Bus30,98.29819517056109
Bus47,Bus48,98.59308148950142
Bus78,Bus79,98.63915971589667
Bus108,Bus300,98.67455358506731
Bus49,Bus50,98.79610246072787
Bus82,Bus83,99.1556124482722
Bus54,Bus55,99.3505111793748
Bus55,Bus56,99.39498977916062
Bus61,Bus610,99.5732757241966
Bus50,Bus51,99.70510204129445
Bus51,Bus151,100.0
