,Phase A,Phase B,Phase C
Bus0,1.03,1.03,1.03
Bus1,1.01603,1.0259,1.02622
Bus2,,1.02544,
Bus3,,,1.02572
Bus4,,,1.02542
Bus5,,,1.02539
Bus6,,,1.02502
Bus7,1.00577,1.02307,1.02356
Bus8,0.99887,1.02118,1.02182
Bus9,0.9975,,
Bus10,0.99471,,
Bus11,0.99434,,
Bus12,,1.02027,
Bus13,0.98901,1.01821,1.01937
Bus14,0.99509,,
Bus15,,,1.01989
Bus16,,,1.01933
Bus17,,,1.02061
Bus18,0.97641,1.0126,1.01664
Bus19,0.9751,,
Bus20,0.974,,
Bus21,0.97446,1.01236,1.01623
Bus22,,1.00702,
Bus23,0.97294,1.0136,1.01532
Bus24,,,1.01651
Bus25,0.97175,1.01441,1.01457
Bus26,0.97091,,1.01398
Bus27,0.97062,,1.01371
Bus28,0.97144,1.01434,1.01446
Bus29,0.97121,1.01425,1.0143
Bus30,0.97119,1.01404,1.01418
Bus31,,,1.01434
Bus32,,,1.01489
Bus33,0.96915,,
Bus34,,,1.01964
Bus35,0.97383,1.00979,1.01727
Bus36,0.97289,1.00651,
Bus37,0.97242,,
Bus38,,1.00431,
Bus39,,1.0037,
Bus40,0.97267,1.00909,1.01689
Bus41,,,1.01718
Bus42,0.97167,1.00814,1.01664
Bus43,,1.00458,
Bus44,0.97101,1.00797,1.01618
Bus45,0.97048,,
Bus46,0.96998,,
Bus47,0.97041,1.00746,1.01579
Bus48,0.97033,1.00738,1.01571
Bus49,0.97031,1.00714,1.0156
Bus50,0.97034,1.00713,1.01543
Bus51,0.97029,1.00713,1.01545
Bus52,0.98266,1.01546,1.01681
Bus53,0.97955,1.01397,1.0156
Bus54,0.97772,1.01307,1.01477
Bus55,0.97761,1.01302,1.01481
Bus56,0.97759,1.01292,1.01486
Bus57,0.97318,1.01025,1.0127
Bus58,,1.00908,
Bus59,,1.00834,
Bus60,0.96348,1.00584,1.00738
Bus61,0.96354,1.00607,1.0071
Bus62,0.96357,1.00351,1.00692
Bus63,0.9635,1.00228,1.00679
Bus64,0.96392,1.00033,1.00598
Bus65,0.9642,0.99914,1.00482
Bus66,0.9644,0.99887,1.00399
Bus67,0.95931,1.00523,1.00431
Bus68,0.95728,,
Bus69,0.9553,,
Bus70,0.95364,,
Bus71,0.95273,,
Bus72,0.95777,1.00522,1.00331
Bus73,,,1.00236
Bus74,,,1.00169
Bus75,,,1.00131
Bus76,0.95656,1.00515,1.00299
Bus77,0.95547,1.00567,1.00234
Bus78,0.95524,1.00581,1.00217
Bus79,0.95507,1.00588,1.00215
Bus80,0.95453,1.00625,1.00149
Bus81,0.95396,1.00693,1.00068
Bus82,0.95387,1.00701,1.00048
Bus83,0.95392,1.00701,1.00037
Bus84,,,1.00099
Bus85,,,1.00078
Bus86,0.955,1.0042,1.003
Bus87,0.95395,1.0036,1.00286
Bus88,0.95353,,
Bus89,0.95354,1.00325,1.00286
Bus90,,1.00277,
Bus91,0.95318,1.00318,1.00281
Bus92,,,1.00272
Bus93,0.95291,1.00298,1.0029
Bus94,0.95234,,
Bus95,0.95288,1.00248,1.00312
Bus96,,1.00233,
Bus97,0.95825,1.00416,1.00435
Bus98,0.95807,1.0036,1.00429
Bus99,0.95807,1.00234,1.0043
Bus100,0.9581,1.00211,1.00407
Bus101,0.95738,1.00368,1.00443
Bus102,,,1.00422
Bus103,,,1.00378
Bus104,,,1.00271
Bus105,0.95657,1.00277,1.00499
Bus106,,1.00148,
Bus107,,0.9999,
Bus108,0.95568,1.00286,1.00504
Bus109,0.95314,,
Bus110,0.95194,,
Bus111,0.95147,,
Bus112,0.95153,,
Bus113,0.95026,,
Bus114,0.95,,
Bus135,0.97641,1.01259,1.01664
Bus149,1.02997,1.02999,1.02999
Bus151,0.97029,1.00713,1.01545
Bus152,0.98899,1.0182,1.01937
Bus160,0.96347,1.00584,1.00737
Bus197,0.95825,1.00416,1.00435
Bus250,0.9711,1.01392,1.01425
Bus300,0.9556,1.00214,1.00537
Bus450,0.95824,1.00231,1.00351
Bus610,0.96354,1.00607,1.0071
