,Phase A,Phase B,Phase C
Bus0,1.03,1.03,1.03
Bus1,1.01552,1.02616,1.02633
Bus2,,1.02571,
Bus3,,,1.02583
Bus4,,,1.02553
Bus5,,,1.0255
Bus6,,,1.02513
Bus7,1.00487,1.02354,1.02375
Bus8,0.99771,1.02178,1.02207
Bus9,0.99634,,
Bus10,0.99355,,
Bus11,0.99317,,
Bus12,,1.02087,
Bus13,0.98745,1.01901,1.0197
Bus14,0.99392,,
Bus15,,,1.02022
Bus16,,,1.01966
Bus17,,,1.02094
Bus18,0.97483,1.01341,1.01697
Bus19,0.97352,,
Bus20,0.97242,,
Bus21,0.97287,1.01317,1.01656
Bus22,,1.00783,
Bus23,0.97135,1.01441,1.01565
Bus24,,,1.01685
Bus25,0.97016,1.01522,1.0149
Bus26,0.96932,,1.01431
Bus27,0.96903,,1.01404
Bus28,0.96985,1.01515,1.01479
Bus29,0.96962,1.01506,1.01463
Bus30,0.9696,1.01484,1.01451
Bus31,,,1.01468
Bus32,,,1.01522
Bus33,0.96755,,
Bus34,,,1.01997
Bus35,0.97224,1.0106,1.0176
Bus36,0.9713,1.00732,
Bus37,0.97083,,
Bus38,,1.00513,
Bus39,,1.00451,
Bus40,0.97108,1.0099,1.01722
Bus41,,,1.01751
Bus42,0.97008,1.00895,1.01697
Bus43,,1.0054,
Bus44,0.96942,1.00878,1.01651
Bus45,0.96889,,
Bus46,0.96838,,
Bus47,0.96882,1.00827,1.01612
Bus48,0.96873,1.00819,1.01604
Bus49,0.96871,1.00796,1.01593
Bus50,0.96874,1.00794,1.01576
Bus51,0.9687,1.00794,1.01578
Bus52,0.98057,1.01654,1.01726
Bus53,0.97718,1.01518,1.0161
Bus54,0.97518,1.01437,1.01531
Bus55,0.97507,1.01432,1.01534
Bus56,0.97506,1.01422,1.01539
Bus57,0.97027,1.01176,1.01334
Bus58,,1.01059,
Bus59,,1.00985,
Bus60,0.95974,1.00781,1.00825
Bus61,0.9598,1.00804,1.00797
Bus62,0.95964,1.0054,1.00785
Bus63,0.95945,1.00412,1.00776
Bus64,0.95961,1.00207,1.00704
Bus65,0.95958,1.00074,1.00597
Bus66,0.95955,1.00037,1.00522
Bus67,0.95525,1.00735,1.00522
Bus68,0.95332,,
Bus69,0.95147,,
Bus70,0.9498,,
Bus71,0.94888,,
Bus72,0.95353,1.00747,1.00423
Bus73,,,1.00329
Bus74,,,1.00262
Bus75,,,1.00223
Bus76,0.95219,1.0075,1.00393
Bus77,0.95109,1.00802,1.00328
Bus78,0.95086,1.00816,1.0031
Bus79,0.95069,1.00823,1.00308
Bus80,0.95014,1.0086,1.00243
Bus81,0.94958,1.00928,1.00162
Bus82,0.94948,1.00935,1.00142
Bus83,0.94953,1.00935,1.00131
Bus84,,,1.00193
Bus85,,,1.00172
Bus86,0.95017,1.00688,1.00397
Bus87,0.94883,1.00649,1.00378
Bus88,0.9484,,
Bus89,0.94824,1.00627,1.00374
Bus90,,1.00579,
Bus91,0.94781,1.00625,1.00367
Bus92,,,1.00359
Bus93,0.9475,1.00607,1.00376
Bus94,0.94693,,
Bus95,0.94747,1.00558,1.00398
Bus96,,1.00543,
Bus97,0.95413,1.00633,1.00526
Bus98,0.9539,1.00581,1.00521
Bus99,0.95382,1.00461,1.00522
Bus100,0.9538,1.00442,1.005
Bus101,0.95322,1.00588,1.00535
Bus102,,,1.00514
Bus103,,,1.00469
Bus104,,,1.00363
Bus105,0.95238,1.00499,1.00591
Bus106,,1.00371,
Bus107,,1.00213,
Bus108,0.95145,1.00511,1.00596
Bus109,0.9489,,
Bus110,0.94769,,
Bus111,0.94722,,
Bus112,0.94729,,
Bus113,0.94601,,
Bus114,0.94575,,
Bus135,0.97482,1.0134,1.01697
Bus149,1.02996,1.02999,1.02999
Bus151,0.9687,1.00794,1.01578
Bus152,0.98743,1.019,1.0197
Bus160,0.95973,1.00781,1.00824
Bus197,0.95412,1.00633,1.00526
Bus250,0.9695,1.01473,1.01458
Bus300,0.95137,1.00438,1.00629
Bus450,0.95394,1.00462,1.00444
Bus610,0.9598,1.00804,1.00797
