,,Active Power (kW),Reactive Power (kVAr)
Bus149,Bus1,4213.083333333332,927.2319082691213
Bus1,Bus2,22.0,5.0
Bus1,Bus3,159.00000000000003,25.0
Bus3,Bus4,35.0,10.0
Bus3,Bus5,86.0,15.0
Bus5,Bus6,61.0,10.0
Bus1,Bus7,4009.083333333332,887.2319082691213
Bus7,Bus8,4009.083333333332,882.2319082691213
Bus8,Bus9,121.0,25.0
Bus14,Bus10,32.0,5.0
Bus14,Bus11,64.0,10.0
Bus8,Bus12,41.000000000000014,5.0
Bus8,Bus13,3807.083333333332,852.231908269121
Bus9,Bus14,131.0,15.0
Bus34,Bus15,59.00000000000001,15.0
Bus15,Bus16,30.000000000000004,10.0
Bus15,Bus17,29.000000000000004,5.0
Bus13,Bus18,1396.5000000000002,325.0
Bus18,Bus19,93.0,20.0
Bus19,Bus20,73.00000000000001,10.0
Bus18,Bus21,518.0,70.0
Bus21,Bus22,69.0,10.0
Bus21,Bus23,420.0,60.0
Bus23,Bus24,90.0,10.0
Bus23,Bus25,259.0,50.0
Bus25,Bus26,152.0,20.0
Bus26,Bus27,105.0,10.0
Bus25,Bus28,107.0,30.0
Bus28,Bus29,71.0,20.0
Bus29,Bus30,45.00000000000001,10.0
Bus26,Bus31,32.0,10.0
Bus31,Bus32,22.0,5.0
Bus27,Bus33,60.0,10.0
Bus13,Bus34,79.00000000000001,25.0
Bus135,Bus35,736.5000000000001,235.0
Bus35,Bus36,222.0,20.0
Bus36,Bus37,20.000000000000004,10.0
Bus36,Bus38,116.00000000000001,10.0
Bus38,Bus39,25.000000000000004,5.0
Bus35,Bus40,494.5000000000001,205.00000000000003
Bus40,Bus41,5.000000000000004,5.0
Bus40,Bus42,438.5000000000001,200.00000000000003
Bus42,Bus43,76.0,10.0
Bus42,Bus44,352.5000000000001,185.00000000000003
Bus44,Bus45,52.0,10.0
Bus45,Bus46,36.0,5.0
Bus44,Bus47,316.5,175.00000000000003
Bus47,Bus48,49.0,75.00000000000001
Bus47,Bus49,143.0,62.50000000000001
Bus49,Bus50,53.0,15.0
Bus50,Bus51,0.0,5.0
Bus152,Bus52,2293.583333333332,502.23190826912116
Bus52,Bus53,2272.583333333332,492.23190826912116
Bus53,Bus54,2249.583333333332,482.23190826912116
Bus54,Bus55,35.0,10.0
Bus55,Bus56,25.0,5.0
Bus54,Bus57,2144.583333333332,472.23190826912116
Bus57,Bus58,49.00000000000001,10.0
Bus58,Bus59,39.0,5.0
Bus57,Bus60,2095.583333333332,462.23190826912116
Bus60,Bus61,-11.999999999999996,0.0
Bus60,Bus62,224.00000000000003,105.0
Bus62,Bus63,162.0,95.0
Bus63,Bus64,156.0,85.0
Bus64,Bus65,118.5,67.5
Bus65,Bus66,107.5,17.500000000000004
Bus160,Bus67,1766.5833333333321,352.23190826912116
Bus67,Bus68,240.00000000000003,30.0
Bus68,Bus69,168.0,25.0
Bus69,Bus70,134.0,15.0
Bus70,Bus71,95.00000000000001,10.0
Bus67,Bus72,698.0,245.0
Bus72,Bus73,75.0,30.0
Bus73,Bus74,55.0,20.0
Bus74,Bus75,35.0,10.0
Bus72,Bus76,623.0,215.0
Bus76,Bus77,253.0,60.0
Bus77,Bus78,233.0,50.0
Bus78,Bus79,39.0,10.0
Bus78,Bus80,179.0,40.0
Bus80,Bus81,124.0,30.0
Bus81,Bus82,83.0,15.0
Bus82,Bus83,37.00000000000001,5.0
Bus81,Bus84,19.0,15.0
Bus84,Bus85,20.000000000000004,10.0
Bus76,Bus86,348.0,65.0
Bus86,Bus87,338.0,60.0
Bus87,Bus88,43.0,10.0
Bus87,Bus89,255.0,40.0
Bus89,Bus90,20.000000000000004,10.0
Bus89,Bus91,196.0,30.0
Bus91,Bus92,42.0,10.0
Bus91,Bus93,124.0,20.0
Bus93,Bus94,33.0,10.0
Bus93,Bus95,46.0,10.0
Bus95,Bus96,10.0,5.0
Bus67,Bus97,807.583333333332,77.2319082691212
Bus97,Bus98,244.00000000000003,30.0
Bus98,Bus99,207.00000000000003,20.0
Bus99,Bus100,139.00000000000003,10.0
Bus197,Bus101,480.0,47.231908269121206
Bus101,Bus102,103.00000000000001,25.0
Bus102,Bus103,93.0,20.0
Bus103,Bus104,20.000000000000004,10.0
Bus101,Bus105,344.0,22.231908269121206
Bus105,Bus106,59.00000000000001,20.0
Bus106,Bus107,20.000000000000004,10.0
Bus105,Bus108,260.0,2.2319082691212064
Bus108,Bus109,171.0,2.2319082691212064
Bus109,Bus110,137.00000000000003,-7.768091730878793
Bus110,Bus111,27.0,5.0
Bus110,Bus112,37.99999999999999,-3.2474610322169237
Bus112,Bus113,30.0,15.0
Bus113,Bus114,10.0,5.0
Bus18,Bus135,785.5000000000001,235.0
Bus0,Bus149,4213.083333333332,927.2319082691213
Bus51,Bus151,0.0,0.0
Bus13,Bus152,2331.583333333332,502.23190826912116
Bus60,Bus160,1873.5833333333321,352.23190826912116
Bus97,Bus197,539.583333333332,47.231908269121206
Bus30,Bus250,25.000000000000004,0.0
Bus108,Bus300,49.0,0.0
Bus100,Bus450,81.00000000000001,0.0
Bus61,Bus610,-55.0,0.0
