,,Margin (%)
Bus7,Bus8,11.163460020894089
Bus1,Bus7,12.79567070440104
Bus149,Bus1,14.750629087226997
Bus0,Bus149,14.755681545815168
Bus8,Bus13,17.93070364025169
Bus13,Bus152,45.80891351467875
Bus152,Bus52,46.27784691597439
Bus53,Bus54,46.463633216826004
Bus52,Bus53,46.75365836621339
Bus57,Bus60,47.37346780610623
Bus54,Bus57,47.901512484233
Bus60,Bus160,48.195969016253045
Bus160,Bus67,50.381577934886934
Bus67,Bus68,54.465560627515195
Bus108,Bus109,67.58566884360631
Bus68,Bus69,67.85906022672236
Bus13,Bus18,70.5846811966002
Bus1,Bus3,73.28227930638502
Bus109,Bus110,73.79623552067048
Bus69,Bus70,74.35475995779288
Bus9,Bus14,77.11948111890916
Bus60,Bus62,77.92126862442196
Bus8,Bus9,78.62128526150423
Bus67,Bus97,79.80991006914246
Bus36,Bus38,80.27559712734298
Bus101,Bus102,81.03181857740178
Bus18,Bus135,81.28558665993417
Bus70,Bus71,81.74697420724746
Bus135,Bus35,82.200081143203
Bus102,Bus103,82.93172015079759
Bus18,Bus19,82.98734452613033
Bus63,Bus64,84.01176298957236
Bus62,Bus63,84.03504546578841
Bus23,Bus24,84.34236902103694
Bus72,Bus76,84.94589451533737
Bus67,Bus72,84.97830745248032
Bus3,Bus5,85.45276533881724
Bus72,Bus73,85.55456832368954
Bus13,Bus34,85.88497901057643
Bus19,Bus20,86.78886531670899
Bus42,Bus43,87.0064145645496
Bus97,Bus197,87.10337434219187
Bus21,Bus22,88.2471692909081
Bus197,Bus101,88.34603636842462
Bus64,Bus65,88.62737870189812
Bus14,Bus11,88.69821794739028
Bus21,Bus23,88.91813461408638
Bus18,Bus21,88.940457105561
Bus105,Bus108,88.98040312646316
Bus101,Bus105,89.00062649859
Bus27,Bus33,89.07797052342941
Bus105,Bus106,89.33214499709963
Bus73,Bus74,89.50686993919159
Bus34,Bus15,89.61598163759767
Bus5,Bus6,89.67089759719308
Bus35,Bus40,89.80407348501933
Bus44,Bus45,90.43566134058939
Bus40,Bus42,90.4855987502781
Bus65,Bus66,90.7149117474231
Bus76,Bus86,91.24155699472489
Bus57,Bus58,91.5564232630505
Bus35,Bus36,91.57193076161131
Bus42,Bus44,91.58216888897516
Bus87,Bus88,91.59507641018749
Bus86,Bus87,91.66742496528293
Bus44,Bus47,92.02146281162524
Bus23,Bus25,92.04805152865097
Bus91,Bus92,92.27355340531142
Bus110,Bus112,92.6897927443369
Bus8,Bus12,93.14102800165091
Bus87,Bus89,93.34458284102455
Bus58,Bus59,93.35308294847908
Bus93,Bus94,93.42104731918926
Bus45,Bus46,93.42783827456881
Bus74,Bus75,93.457912028054
Bus112,Bus113,93.56832610113103
Bus77,Bus78,93.79534410503496
Bus76,Bus77,93.8005688794212
Bus3,Bus4,93.93427938737305
Bus97,Bus98,94.09218762390044
Bus98,Bus99,94.17811632904275
Bus26,Bus31,94.18712803343466
Bus14,Bus10,94.34910897369514
Bus26,Bus27,94.60194387209384
Bus15,Bus16,94.60253947470306
Bus25,Bus26,94.6056604445926
Bus110,Bus111,94.73677868333654
Bus15,Bus17,94.97717067921155
Bus89,Bus91,95.57660858791766
Bus81,Bus84,95.64296465849759
Bus38,Bus39,95.6692418258556
Bus78,Bus80,95.8074979424836
Bus36,Bus37,95.96639113129493
Bus84,Bus85,95.96692294015632
Bus103,Bus104,95.97449310840204
Bus31,Bus32,96.0850527005011
Bus89,Bus90,96.14242459110693
Bus80,Bus81,96.1456883109443
Bus106,Bus107,96.16506181195807
Bus1,Bus2,96.28160099174468
Bus99,Bus100,96.37725813993585
Bus91,Bus93,96.39511934635802
Bus47,Bus49,96.46405784015161
Bus100,Bus450,96.95043895116706
Bus25,Bus28,97.33138751385019
Bus81,Bus82,97.38375796871324
Bus93,Bus95,97.39928731201645
Bus61,Bus610,97.49163640330562
Bus47,Bus48,97.70094445414261
Bus113,Bus114,97.8511870337599
Bus49,Bus50,97.90452434957507
Bus95,Bus96,98.06854712548716
Bus108,Bus300,98.52182924852868
Bus28,Bus29,98.54435658515548
Bus78,Bus79,98.56525707464183
Bus30,Bus250,98.65166741047024
Bus29,Bus30,98.65207128492273
Bus40,Bus41,98.78084435305232
Bus82,Bus83,98.8678923216627
Bus55,Bus56,99.17010106300906
Bus54,Bus55,99.1701462988028
Bus60,Bus61,99.22345364420651
Bus50,Bus51,99.71073097650114
Bus51,Bus151,100.0
