,Phase A,Phase B,Phase C
Bus0,1.03,1.03,1.03
Bus1,1.01769,1.02612,1.02247
Bus2,,1.02592,
Bus3,,,1.0205
Bus4,,,1.02011
Bus5,,,1.01909
Bus6,,,1.01832
Bus7,1.00797,1.02381,1.01753
Bus8,1.00147,1.02227,1.01422
Bus9,1.00004,,
Bus10,0.99691,,
Bus11,0.99651,,
Bus12,,1.02182,
Bus13,0.99267,1.01952,1.00933
Bus14,0.99732,,
Bus15,,,1.00833
Bus16,,,1.00768
Bus17,,,1.00782
Bus18,0.98506,1.01513,1.00401
Bus19,0.9838,,
Bus20,0.9826,,
Bus21,0.98462,1.01463,1.003
Bus22,,1.01284,
Bus23,0.98447,1.01467,1.00182
Bus24,,,0.99941
Bus25,0.98389,1.01492,1.00112
Bus26,0.98355,,1.00045
Bus27,0.9831,,1.00021
Bus28,0.98362,1.01491,1.00105
Bus29,0.98345,1.01487,1.00091
Bus30,0.9835,1.01472,1.0008
Bus31,,,1.00003
Bus32,,,0.99968
Bus33,0.98154,,
Bus34,,,1.00865
Bus35,0.98252,1.01326,1.00394
Bus36,0.98083,1.01211,
Bus37,0.98043,,
Bus38,,1.01075,
Bus39,,1.01033,
Bus40,0.98162,1.01255,1.00325
Bus41,,,1.00311
Bus42,0.98071,1.01182,1.00275
Bus43,,1.00996,
Bus44,0.9802,1.0115,1.00213
Bus45,0.97965,,
Bus46,0.9791,,
Bus47,0.97978,1.01069,1.00161
Bus48,0.97975,1.01054,1.00148
Bus49,0.97969,1.01024,1.00147
Bus50,0.97973,1.01011,1.00132
Bus51,0.97969,1.01011,1.00134
Bus52,0.98526,1.01791,1.00524
Bus53,0.98168,1.01704,1.00321
Bus54,0.97952,1.01652,1.00189
Bus55,0.97947,1.01645,1.00186
Bus56,0.97951,1.01632,1.00184
Bus57,0.97459,1.01383,0.99849
Bus58,,1.01319,
Bus59,,1.01271,
Bus60,0.96419,1.00883,0.99051
Bus61,0.96428,1.0087,0.9906
Bus62,0.96388,1.00735,0.99
Bus63,0.96362,1.00661,0.98978
Bus64,0.96363,1.00507,0.98901
Bus65,0.96348,1.00417,0.98789
Bus66,0.96347,1.00363,0.98715
Bus67,0.9601,1.00785,0.9862
Bus68,0.95764,,
Bus69,0.95521,,
Bus70,0.95299,,
Bus71,0.95167,,
Bus72,0.95907,1.00661,0.9851
Bus73,,,0.98381
Bus74,,,0.98264
Bus75,,,0.98184
Bus76,0.95807,1.0058,0.98473
Bus77,0.95767,1.00545,0.98392
Bus78,0.95757,1.00543,0.98369
Bus79,0.95753,1.00544,0.98357
Bus80,0.95732,1.0052,0.98289
Bus81,0.9573,1.00529,0.98192
Bus82,0.95716,1.00534,0.98169
Bus83,0.9572,1.0053,0.98158
Bus84,,,0.9809
Bus85,,,0.98026
Bus86,0.95599,1.00423,0.98508
Bus87,0.95474,1.00342,0.98492
Bus88,0.95431,,
Bus89,0.95429,1.00296,0.98487
Bus90,,1.00266,
Bus91,0.95405,1.00274,0.98474
Bus92,,,0.98404
Bus93,0.95371,1.00258,0.98482
Bus94,0.95316,,
Bus95,0.95362,1.00227,0.98503
Bus96,,1.00214,
Bus97,0.95903,1.00724,0.98542
Bus98,0.95846,1.00697,0.98544
Bus99,0.95769,1.00628,0.98562
Bus100,0.95738,1.00623,0.98552
Bus101,0.95861,1.00684,0.98473
Bus102,,,0.98345
Bus103,,,0.98182
Bus104,,,0.98088
Bus105,0.95773,1.00669,0.98468
Bus106,,1.00592,
Bus107,,1.00516,
Bus108,0.95686,1.00715,0.98413
Bus109,0.95329,,
Bus110,0.95151,,
Bus111,0.95067,,
Bus112,0.95132,,
Bus113,0.95023,,
Bus114,0.95,,
Bus135,0.98505,1.01513,1.00401
Bus149,1.02997,1.02999,1.02998
Bus151,0.97969,1.01011,1.00134
Bus152,0.99265,1.01952,1.00932
Bus160,0.96417,1.00883,0.99049
Bus197,0.95902,1.00724,0.98542
Bus250,0.98346,1.01464,1.00087
Bus300,0.95695,1.00649,0.98425
Bus450,0.95699,1.00646,0.98492
Bus610,0.96428,1.0087,0.9906
