,Phase A,Phase B,Phase C
Bus0,1.03,1.03,1.03
Bus1,1.01759,1.02578,1.0228
Bus2,,1.02557,
Bus3,,,1.02083
Bus4,,,1.02045
Bus5,,,1.01942
Bus6,,,1.01866
Bus7,1.00779,1.0232,1.01812
Bus8,1.00124,1.02148,1.01498
Bus9,0.99981,,
Bus10,0.99668,,
Bus11,0.99628,,
Bus12,,1.02104,
Bus13,0.99236,1.01847,1.01035
Bus14,0.99709,,
Bus15,,,1.00935
Bus16,,,1.0087
Bus17,,,1.00884
Bus18,0.98443,1.01437,1.00479
Bus19,0.98307,,
Bus20,0.98187,,
Bus21,0.98392,1.01394,1.00373
Bus22,,1.01215,
Bus23,0.9837,1.01404,1.0025
Bus24,,,1.0001
Bus25,0.98305,1.01436,1.00175
Bus26,0.98262,,1.00104
Bus27,0.98218,,1.0008
Bus28,0.98278,1.01434,1.00168
Bus29,0.98262,1.0143,1.00155
Bus30,0.98267,1.01415,1.00144
Bus31,,,1.00062
Bus32,,,1.00027
Bus33,0.98061,,
Bus34,,,1.00968
Bus35,0.98189,1.01251,1.00473
Bus36,0.9802,1.01135,
Bus37,0.97979,,
Bus38,,1.00999,
Bus39,,1.00957,
Bus40,0.98099,1.0118,1.00404
Bus41,,,1.0039
Bus42,0.98007,1.01106,1.00354
Bus43,,1.0092,
Bus44,0.97957,1.01074,1.00292
Bus45,0.97901,,
Bus46,0.97846,,
Bus47,0.97915,1.00993,1.0024
Bus48,0.97911,1.00978,1.00227
Bus49,0.97905,1.00948,1.00226
Bus50,0.9791,1.00935,1.00211
Bus51,0.97905,1.00935,1.00213
Bus52,0.985,1.01634,1.00669
Bus53,0.98145,1.01521,1.00488
Bus54,0.9793,1.01453,1.00369
Bus55,0.97925,1.01446,1.00366
Bus56,0.97929,1.01433,1.00364
Bus57,0.97442,1.01145,1.00071
Bus58,,1.01082,
Bus59,,1.01034,
Bus60,0.96413,1.00564,0.99364
Bus61,0.96422,1.00551,0.99373
Bus62,0.96383,1.00415,0.99313
Bus63,0.96357,1.00341,0.99291
Bus64,0.96357,1.00186,0.99215
Bus65,0.96342,1.00096,0.99103
Bus66,0.96341,1.00042,0.99029
Bus67,0.96009,1.00427,0.98985
Bus68,0.95786,,
Bus69,0.95576,,
Bus70,0.95393,,
Bus71,0.95294,,
Bus72,0.95909,1.00299,0.98877
Bus73,,,0.98749
Bus74,,,0.98632
Bus75,,,0.98552
Bus76,0.95813,1.00216,0.98843
Bus77,0.95778,1.00176,0.98766
Bus78,0.9577,1.00172,0.98744
Bus79,0.95766,1.00174,0.98732
Bus80,0.95751,1.00144,0.9867
Bus81,0.95756,1.00147,0.98578
Bus82,0.95742,1.00152,0.98556
Bus83,0.95746,1.00149,0.98544
Bus84,,,0.98476
Bus85,,,0.98412
Bus86,0.95605,1.00059,0.98877
Bus87,0.95479,0.99977,0.98862
Bus88,0.95437,,
Bus89,0.95435,0.99931,0.98856
Bus90,,0.99901,
Bus91,0.9541,0.99908,0.98843
Bus92,,,0.98774
Bus93,0.95376,0.99893,0.98851
Bus94,0.95322,,
Bus95,0.95368,0.99861,0.98873
Bus96,,0.99848,
Bus97,0.95891,1.00351,0.98929
Bus98,0.95834,1.00324,0.9893
Bus99,0.95758,1.00254,0.98949
Bus100,0.95726,1.00249,0.98939
Bus101,0.95831,1.00302,0.98877
Bus102,,,0.98749
Bus103,,,0.98586
Bus104,,,0.98493
Bus105,0.95723,1.00278,0.9889
Bus106,,1.002,
Bus107,,1.00125,
Bus108,0.95612,1.00313,0.98857
Bus109,0.95248,,
Bus110,0.95047,,
Bus111,0.94962,,
Bus112,0.95013,,
Bus113,0.94904,,
Bus114,0.94881,,
Bus135,0.98442,1.01437,1.00479
Bus149,1.02997,1.02999,1.02998
Bus151,0.97905,1.00935,1.00213
Bus152,0.99234,1.01846,1.01034
Bus160,0.96412,1.00564,0.99363
Bus197,0.95891,1.0035,0.98929
Bus250,0.98262,1.01408,1.00151
Bus300,0.95622,1.00247,0.98869
Bus450,0.95688,1.00273,0.98879
Bus610,0.96422,1.00551,0.99373
