DER Name,Alpha,Phases,Bus,Pi,P_inj,Q_inj
DER_1,0.0,"['A', 'B', 'C']",1,16.4,0.0,0.0
DER_2,0.0,"['A', 'B', 'C']",1,12.3,0.0,0.0
DER_3,0.0,"['A', 'B', 'C']",1,11.9,-0.0,-0.0
DER_4,0.0,['B'],2,13.3,-0.0,-0.0
DER_5,1.0,['B'],2,17.9,-24.0,-11.623730516108461
DER_6,0.0,['C'],3,21.6,0.0,0.0
DER_7,0.0,['C'],3,13.7,0.0,0.0
DER_8,0.0,['C'],3,10.9,0.0,0.0
DER_9,0.0,['C'],3,12.1,-0.0,-0.0
DER_10,0.0,['C'],3,12.8,-0.0,-0.0
DER_11,0.0,['C'],3,13.6,0.0,0.0
DER_12,1.0,['C'],4,19.5,-16.0,-7.749153677405641
DER_13,1.0,['C'],4,17.7,-21.0,-10.170764201594903
DER_14,0.0,['C'],4,13.2,0.0,0.0
DER_15,0.0,['C'],5,15.3,0.0,0.0
DER_16,1.0,['C'],6,16.1,-28.0,-13.56101893545987
DER_17,0.0,['C'],6,11.1,-0.0,-0.0
DER_18,0.0,['C'],6,13.8,-0.0,-0.0
DER_19,0.0,['C'],6,11.4,0.0,0.0
DER_20,0.0,['B'],7,11.7,-0.0,-0.0
DER_21,0.0,['B'],8,15.2,-0.0,-0.0
DER_22,0.0,"['B', 'C']",8,13.9,0.0,0.0
DER_23,1.0,"['A', 'C']",8,24.2,-10.0,-4.843221048378526
DER_24,1.0,['A'],9,1.8,23.0,11.139408411270608
DER_25,1.0,['A'],9,23.5,-25.0,-12.108052620946314
DER_26,1.0,['A'],9,16.4,-16.0,-7.749153677405641
DER_27,1.0,['A'],9,19.2,-9.0,-4.358898943540673
DER_28,0.0,['A'],10,20.1,0.0,0.0
DER_29,0.0,['A'],10,17.4,0.0,0.0
DER_30,0.0,['A'],10,20.5,0.0,0.0
DER_31,1.0,['A'],10,17.2,-13.0,-6.296187362892083
DER_32,1.0,['A'],10,19.3,-10.0,-4.843221048378526
DER_33,0.0,['A'],11,21.2,0.0,0.0
DER_34,1.0,['A'],11,16.2,-11.0,-5.327543153216378
DER_35,0.0,['A'],11,13.3,0.0,0.0
DER_36,1.0,['B'],12,18.6,-22.0,-10.655086306432755
DER_37,0.0,['B'],12,13.2,0.0,0.0
DER_38,0.0,['B'],12,15.3,-0.0,-0.0
DER_39,0.0,['A'],14,16.1,0.0,0.0
DER_40,1.0,['A'],14,15.6,-25.0,-12.108052620946314
DER_41,0.0,['A'],14,22.7,0.0,0.0
DER_42,1.0,['A'],14,8.4,11.0,5.327543153216378
DER_43,0.0,['A'],14,13.8,-0.0,-0.0
DER_44,0.0,['A'],14,12.9,-0.0,-0.0
DER_45,0.0,['A'],14,7.3,-0.0,-0.0
DER_46,0.0,['A'],14,19.4,0.0,0.0
DER_47,1.0,['C'],15,22.1,-15.0,-7.264831572567788
DER_48,1.0,['C'],15,9.7,6.0,2.9059326290271152
DER_49,0.0,['C'],15,20.5,0.0,0.0
DER_50,1.0,['C'],16,17.4,-23.0,-11.139408411270608
DER_51,0.0,['C'],16,11.5,-0.0,-0.0
DER_52,0.0,['C'],16,14.1,0.0,0.0
DER_53,0.0,['C'],16,13.3,-0.0,-0.0
DER_54,0.0,['C'],16,10.7,0.0,0.0
DER_55,0.0,['C'],17,18.7,0.0,0.0
DER_56,0.0,['C'],17,13.6,0.0,0.0
DER_57,0.0,['C'],17,14.2,-0.0,-0.0
DER_58,1.0,['C'],17,16.1,-11.0,-5.327543153216378
DER_59,0.0,['B'],18,18.3,0.0,0.0
DER_60,0.0,"['A', 'C']",18,21.8,0.0,0.0
DER_61,1.0,['A'],18,15.6,-13.0,-6.296187362892083
DER_62,0.0,['A'],19,12.9,-0.0,-0.0
DER_63,1.0,['A'],19,8.4,24.0,11.623730516108461
DER_64,0.0,['A'],19,16.9,0.0,0.0
DER_65,0.0,['A'],19,12.2,-0.0,-0.0
DER_66,0.0,['A'],19,13.9,-0.0,-0.0
DER_67,1.0,['A'],19,16.3,-7.0,-3.3902547338649676
DER_68,0.0,['A'],19,11.4,0.0,0.0
DER_69,0.0,['A'],19,13.0,-0.0,-0.0
DER_70,0.0,['A'],20,14.1,-0.0,-0.0
DER_71,0.0,['A'],20,14.6,0.0,0.0
DER_72,0.0,['A'],20,18.0,0.0,0.0
DER_73,0.0,['A'],20,16.1,0.0,0.0
DER_74,0.0,"['A', 'B']",21,16.6,0.0,0.0
DER_75,0.0,['B'],21,9.0,-0.0,-0.0
DER_76,1.0,"['A', 'B']",21,19.8,-36.0,-17.435595774162692
DER_77,0.0,"['A', 'B']",21,6.4,-0.0,-0.0
DER_78,1.0,"['A', 'B']",21,20.3,-22.0,-10.655086306432755
DER_79,0.0,['A'],21,13.5,-0.0,-0.0
DER_80,0.0,"['B', 'C']",21,8.9,-0.0,-0.0
DER_81,0.0,['B'],22,11.6,-0.0,-0.0
DER_82,0.0,['B'],22,11.5,0.0,0.0
DER_83,0.0,['A'],23,10.9,0.0,0.0
DER_84,0.0,"['B', 'C']",23,14.0,-0.0,-0.0
DER_85,0.0,['A'],23,16.3,0.0,0.0
DER_86,0.0,"['B', 'C']",23,10.8,-0.0,-0.0
DER_87,0.0,"['B', 'C']",23,18.0,0.0,0.0
DER_88,1.0,"['B', 'C']",23,19.6,-33.0,-15.982629459649134
DER_89,1.0,"['A', 'B', 'C']",23,17.9,-17.0,-8.233475782243493
DER_90,0.0,['C'],24,10.7,-0.0,-0.0
DER_91,0.0,['C'],24,12.2,-0.0,-0.0
DER_92,0.0,['C'],24,17.7,0.0,0.0
DER_93,0.0,['C'],24,12.3,0.0,0.0
DER_94,0.0,"['B', 'C']",25,14.8,-0.0,-0.0
DER_95,0.0,['B'],25,18.9,0.0,0.0
DER_96,0.0,['A'],25,9.9,-0.0,-0.0
DER_97,0.0,['C'],25,18.6,0.0,0.0
DER_98,0.0,['A'],26,12.7,-0.0,-0.0
DER_99,1.0,['A'],26,16.2,-23.0,-11.139408411270608
DER_100,0.0,['A'],26,17.6,0.0,0.0
DER_101,1.0,['C'],26,20.9,-18.0,-8.717797887081346
DER_102,0.0,['A'],27,8.8,-0.0,-0.0
DER_103,0.0,['B'],28,10.9,0.0,0.0
DER_104,1.0,"['A', 'C']",28,8.9,24.0,11.623730516108461
DER_105,0.0,['B'],28,13.6,0.0,0.0
DER_106,0.0,['C'],28,23.5,0.0,0.0
DER_107,0.0,['C'],29,15.2,0.0,0.0
DER_108,0.0,['B'],29,19.0,0.0,0.0
DER_109,0.0,['A'],29,4.8,-0.0,-0.0
DER_110,0.0,['B'],29,10.7,0.0,0.0
DER_111,0.0,['C'],29,12.6,-0.0,-0.0
DER_112,1.0,"['A', 'C']",29,20.5,-21.0,-10.170764201594903
DER_113,1.0,"['A', 'B', 'C']",29,24.0,-29.0,-14.045341040297723
DER_114,0.0,['A'],29,14.2,0.0,0.0
DER_115,0.0,"['A', 'C']",29,15.1,-0.0,-0.0
DER_116,0.0,['C'],29,24.2,0.0,0.0
DER_117,1.0,['C'],30,18.0,-14.0,-6.780509467729935
DER_118,0.0,"['A', 'C']",30,13.1,-0.0,-0.0
DER_119,1.0,['C'],30,17.7,-29.0,-14.045341040297723
DER_120,0.0,"['B', 'C']",30,15.7,0.0,0.0
DER_121,0.0,['C'],31,10.0,-0.0,-0.0
DER_122,0.0,['C'],31,18.2,0.0,0.0
DER_123,0.0,['C'],31,10.6,0.0,0.0
DER_124,0.0,['C'],32,7.1,-0.0,-0.0
DER_125,1.0,['C'],32,15.5,-20.0,-9.686442096757052
DER_126,0.0,['C'],32,18.3,0.0,0.0
DER_127,0.0,['C'],32,11.5,-0.0,-0.0
DER_128,0.0,['C'],32,14.1,0.0,0.0
DER_129,0.0,['C'],32,13.5,-0.0,-0.0
DER_130,1.0,['C'],32,20.3,-14.0,-6.780509467729935
DER_131,1.0,['C'],32,19.3,-31.0,-15.013985249973429
DER_132,0.0,['A'],33,16.3,0.0,0.0
DER_133,0.0,['A'],33,19.0,0.0,0.0
DER_134,0.0,['A'],33,14.1,-0.0,-0.0
DER_135,1.0,['A'],33,16.7,-12.0,-5.8118652580542305
DER_136,0.0,['A'],33,14.3,-0.0,-0.0
DER_137,0.0,['C'],34,11.2,-0.0,-0.0
DER_138,0.0,['C'],34,17.2,0.0,0.0
DER_139,0.0,['C'],34,23.9,0.0,0.0
DER_140,0.0,['C'],34,18.1,0.0,0.0
DER_141,1.0,['C'],34,16.6,-26.0,-12.592374725784167
DER_142,1.0,"['A', 'C']",35,17.1,-22.0,-10.655086306432755
DER_143,1.0,['B'],35,21.7,-6.0,-2.9059326290271152
DER_144,0.0,"['A', 'B', 'C']",35,11.2,0.0,0.0
DER_145,0.0,"['A', 'B', 'C']",35,19.2,0.0,0.0
DER_146,0.0,"['B', 'C']",35,13.0,-0.0,-0.0
DER_147,0.0,['A'],36,15.8,0.0,0.0
DER_148,0.0,"['A', 'B']",36,20.8,0.0,0.0
DER_149,0.0,['B'],36,19.4,0.0,0.0
DER_150,1.0,['B'],36,21.2,-16.0,-7.749153677405641
DER_151,0.0,['B'],38,13.8,0.0,0.0
DER_152,0.0,['B'],38,12.0,-0.0,-0.0
DER_153,0.0,['B'],38,14.2,0.0,0.0
DER_154,0.0,['B'],39,17.7,0.0,0.0
DER_155,1.0,['B'],39,6.8,15.0,7.264831572567788
DER_156,1.0,"['A', 'B', 'C']",40,18.4,-8.0,-3.8745768387028203
DER_157,1.0,"['A', 'B', 'C']",40,19.2,-20.0,-9.686442096757052
DER_158,0.0,['C'],40,11.3,0.0,0.0
DER_159,0.0,['C'],40,19.7,0.0,0.0
DER_160,0.0,['B'],40,21.1,0.0,0.0
DER_161,1.0,['C'],41,2.8,23.0,11.139408411270608
DER_162,0.0,['C'],41,16.7,0.0,0.0
DER_163,0.0,['C'],41,11.3,-0.0,-0.0
DER_164,0.0,"['B', 'C']",42,10.7,0.0,0.0
DER_165,1.0,"['A', 'B']",42,8.7,22.0,10.655086306432755
DER_166,1.0,['B'],43,3.9,17.0,8.233475782243493
