DER,Alpha
DER_1,0.1529884719784045
DER_2,1.0
DER_3,1.0
DER_4,1.0
DER_5,1.0
DER_6,1.0
DER_7,1.0
DER_8,1.0
DER_9,1.0
DER_10,1.0
DER_11,1.0
DER_12,1.0
DER_13,1.0
DER_14,1.0
DER_15,1.0
DER_16,1.0
DER_17,1.0
DER_18,0.0
DER_19,0.0
DER_20,1.0
DER_21,0.448011906776621
DER_22,1.0
DER_23,0.0
DER_24,1.0
DER_25,1.0
DER_26,1.0
DER_27,1.0
DER_28,0.0
DER_29,1.0
DER_30,1.0
DER_31,1.0
DER_32,1.0
DER_33,1.0
DER_34,1.0
DER_35,1.0
DER_36,1.0
DER_37,1.0
DER_38,1.0
DER_39,1.0
DER_40,1.0
DER_41,1.0
DER_42,1.0
DER_43,0.0
DER_44,1.0
DER_45,1.0
DER_46,1.0
DER_47,1.0
DER_48,1.0
DER_49,1.0
DER_50,1.0
DER_51,1.0
DER_52,0.0
DER_53,1.0
DER_54,1.0
DER_55,1.0
DER_56,1.0
DER_57,0.0
DER_58,1.0
DER_59,1.0
DER_60,1.0
DER_61,1.0
DER_62,1.0
DER_63,1.0
DER_64,1.0
DER_65,1.0
DER_66,1.0
DER_67,1.0
DER_68,1.0
DER_69,1.0
DER_70,1.0
DER_71,1.0
DER_72,1.0
DER_73,1.0
DER_74,1.0
DER_75,1.0
DER_76,1.0
DER_77,1.0
DER_78,1.0
DER_79,1.0
DER_80,1.0
DER_81,1.0
DER_82,1.0
DER_83,1.0
DER_84,1.0
DER_85,1.0
DER_86,1.0
DER_87,1.0
DER_88,0.0
DER_89,1.0
DER_90,1.0
DER_91,0.0
DER_92,0.0
DER_93,1.0
DER_94,1.0
DER_95,1.0
DER_96,1.0
DER_97,1.0
DER_98,1.0
DER_99,1.0
DER_100,0.3627791191275624
DER_101,1.0
DER_102,1.0
DER_103,1.0
DER_104,1.0
DER_105,1.0
DER_106,1.0
DER_107,1.0
DER_108,1.0
DER_109,1.0
DER_110,1.0
DER_111,0.0
DER_112,1.0
DER_113,1.0
DER_114,1.0
DER_115,0.0
DER_116,-0.0
DER_117,1.0
DER_118,1.0
DER_119,1.0
DER_120,1.0
DER_121,1.0
DER_122,1.0
DER_123,0.0
DER_124,1.0
DER_125,0.0
DER_126,1.0
DER_127,1.0
DER_128,1.0
