Vertex,DER,Activation
0,DER_1,1.0
0,DER_2,0.0
0,DER_3,1.0
0,DER_4,0.0
0,DER_5,1.0
0,DER_6,0.0
0,DER_7,1.0
0,DER_8,1.0
0,DER_9,0.0
0,DER_10,1.0
0,DER_11,1.0
0,DER_12,1.0
0,DER_13,0.0
0,DER_14,1.0
0,DER_15,0.0
0,DER_16,0.0
0,DER_17,1.0
0,DER_18,1.0
0,DER_19,1.0
0,DER_20,1.0
0,DER_21,1.0
0,DER_22,0.0
0,DER_23,1.0
0,DER_24,1.0
0,DER_25,1.0
0,DER_26,0.0
0,DER_27,0.0
0,DER_28,1.0
0,DER_29,0.0
0,DER_30,1.0
0,DER_31,0.0
0,DER_32,1.0
0,DER_33,1.0
0,DER_34,0.0
0,DER_35,1.0
0,DER_36,0.0
0,DER_37,1.0
0,DER_38,0.0
0,DER_39,0.0
0,DER_40,1.0
0,DER_41,0.0
0,DER_42,0.0
0,DER_43,1.0
0,DER_44,0.0
0,DER_45,0.0
0,DER_46,1.0
0,DER_47,0.0
0,DER_48,0.0
0,DER_49,0.0
0,DER_50,1.0
0,DER_51,0.0
0,DER_52,1.0
0,DER_53,0.0
0,DER_54,0.0
0,DER_55,0.0
0,DER_56,0.0
0,DER_57,1.0
0,DER_58,0.0
0,DER_59,0.0
0,DER_60,1.0
0,DER_61,1.0
0,DER_62,0.0
0,DER_63,0.0
0,DER_64,0.0
0,DER_65,1.0
0,DER_66,1.0
0,DER_67,1.0
0,DER_68,1.0
0,DER_69,0.0
0,DER_70,1.0
0,DER_71,0.0
0,DER_72,1.0
0,DER_73,1.0
0,DER_74,1.0
0,DER_75,1.0
0,DER_76,1.0
0,DER_77,1.0
0,DER_78,0.0
0,DER_79,0.0
0,DER_80,1.0
0,DER_81,1.0
0,DER_82,0.0
0,DER_83,0.0
0,DER_84,1.0
0,DER_85,1.0
0,DER_86,0.0
0,DER_87,0.0
0,DER_88,1.0
0,DER_89,0.0
0,DER_90,1.0
0,DER_91,1.0
0,DER_92,1.0
0,DER_93,1.0
0,DER_94,1.0
