Iteration,Vertex,DER,RepairBasis,AlphaBefore,AlphaAfter,AlphaReduction,Quantity Reduction (kW)
1,0,DER_111,Active DERs,1.0,0.0,1.0,35.0
1,0,DER_123,Active DERs,1.0,0.0,1.0,14.0
1,0,DER_125,Active DERs,1.0,0.0,1.0,30.0
1,0,DER_130,Active DERs,1.0,0.0,1.0,22.0
1,0,DER_159,Active DERs,1.0,0.0,1.0,21.0
1,0,DER_160,Active DERs,1.0,0.0,1.0,16.0
1,0,DER_171,Active DERs,1.0,0.0,1.0,27.0
1,0,DER_18,Active DERs,1.0,0.0,1.0,23.0
1,0,DER_196,Active DERs,1.0,0.0,1.0,29.0
1,0,DER_200,Active DERs,1.0,0.0,1.0,38.0
1,0,DER_205,Active DERs,1.0,0.0,1.0,17.0
1,0,DER_207,Active DERs,1.0,0.0,1.0,36.0
1,0,DER_223,Active DERs,1.0,0.0,1.0,39.0
1,0,DER_229,Active DERs,1.0,0.0,1.0,28.0
1,0,DER_230,Active DERs,1.0,0.0,1.0,19.0
1,0,DER_235,Active DERs,1.0,0.0,1.0,17.0
1,0,DER_238,Active DERs,1.0,0.0,1.0,28.0
1,0,DER_243,Active DERs,1.0,0.0,1.0,9.0
1,0,DER_254,Active DERs,1.0,0.0,1.0,26.0
1,0,DER_260,Active DERs,1.0,0.0,1.0,30.0
1,0,DER_262,Active DERs,1.0,0.0,1.0,27.0
1,0,DER_273,Active DERs,1.0,0.34259259259252417,0.6574074074074758,11.833333333334565
1,0,DER_28,Active DERs,1.0,0.0,1.0,15.0
1,0,DER_288,Active DERs,1.0,0.0,1.0,26.0
1,0,DER_289,Active DERs,1.0,0.0,1.0,27.0
1,0,DER_297,Active DERs,1.0,0.23684210526315708,0.7631578947368429,14.500000000000016
1,0,DER_298,Active DERs,1.0,0.0,1.0,17.0
1,0,DER_318,Active DERs,1.0,0.8134920634920166,0.18650793650798336,3.9166666666676506
1,0,DER_324,Active DERs,1.0,0.0,1.0,15.0
1,0,DER_372,Active DERs,1.0,0.0,1.0,25.0
1,0,DER_384,Active DERs,1.0,0.0,1.0,16.0
1,0,DER_385,Active DERs,1.0,0.0,1.0,12.0
1,0,DER_386,Active DERs,1.0,0.0,1.0,35.0
1,0,DER_387,Active DERs,1.0,0.0,1.0,14.0
1,0,DER_388,Active DERs,1.0,0.0,1.0,15.0
1,0,DER_397,Active DERs,1.0,0.0,1.0,27.0
1,0,DER_398,Active DERs,1.0,0.0,1.0,15.0
1,0,DER_402,Active DERs,1.0,0.0,1.0,32.0
1,0,DER_419,Active DERs,1.0,0.0,1.0,13.0
1,0,DER_422,Active DERs,1.0,0.0,1.0,37.0
1,0,DER_425,Active DERs,1.0,0.0,1.0,12.0
1,0,DER_428,Active DERs,1.0,0.0,1.0,25.0
1,0,DER_43,Active DERs,1.0,0.0,1.0,18.0
1,0,DER_436,Active DERs,1.0,0.0,1.0,28.0
1,0,DER_449,Active DERs,1.0,0.0,1.0,24.0
1,0,DER_52,Active DERs,1.0,0.0,1.0,13.0
1,0,DER_91,Active DERs,1.0,0.0,1.0,16.0
1,0,DER_92,Active DERs,1.0,0.0,1.0,16.0
2,13,DER_239,Active DERs,1.0,0.0,1.0,24.0
2,13,DER_314,Active DERs,1.0,0.0,1.0,39.0
2,13,DER_326,Active DERs,1.0,0.0,1.0,30.0
2,13,DER_334,Active DERs,1.0,0.0,1.0,21.0
2,13,DER_351,Active DERs,1.0,0.0,1.0,19.0
2,13,DER_371,Active DERs,1.0,0.0,1.0,24.0
2,13,DER_381,Active DERs,1.0,0.0,1.0,22.0
2,13,DER_389,Active DERs,1.0,0.0,1.0,21.0
2,13,DER_391,Active DERs,1.0,0.0,1.0,36.0
2,13,DER_395,Active DERs,1.0,0.5889838337656932,0.4110161662343068,6.987274825983215
2,13,DER_399,Active DERs,1.0,0.0,1.0,23.0
