Vertex,Mode,Status
0,JointRobustSolve,optimal
1,JointRobustSolve,optimal
2,JointRobustSolve,optimal
3,JointRobustSolve,optimal
4,JointRobustSolve,optimal
5,JointRobustSolve,optimal
6,JointRobustSolve,optimal
7,JointRobustSolve,optimal
8,JointRobustSolve,optimal
9,JointRobustSolve,optimal
10,JointRobustSolve,optimal
11,JointRobustSolve,optimal
12,JointRobustSolve,optimal
13,JointRobustSolve,optimal
14,JointRobustSolve,optimal
15,JointRobustSolve,optimal
16,JointRobustSolve,optimal
17,JointRobustSolve,optimal
18,JointRobustSolve,optimal
19,JointRobustSolve,optimal
20,JointRobustSolve,optimal
21,JointRobustSolve,optimal
22,JointRobustSolve,optimal
23,JointRobustSolve,optimal
24,JointRobustSolve,optimal
25,JointRobustSolve,optimal
26,JointRobustSolve,optimal
27,JointRobustSolve,optimal
28,JointRobustSolve,optimal
29,JointRobustSolve,optimal
30,JointRobustSolve,optimal
31,JointRobustSolve,optimal
32,JointRobustSolve,optimal
33,JointRobustSolve,optimal
34,JointRobustSolve,optimal
35,JointRobustSolve,optimal
36,JointRobustSolve,optimal
37,JointRobustSolve,optimal
38,JointRobustSolve,optimal
39,JointRobustSolve,optimal
40,JointRobustSolve,optimal
41,JointRobustSolve,optimal
42,JointRobustSolve,optimal
43,JointRobustSolve,optimal
44,JointRobustSolve,optimal
