DER Name,Bus Location,Phase Connection,Bid Price,Offer Price,Quantity,Price
DER_1,Bus1,"['A', 'C']",11,,-31,11
DER_2,Bus1,['C'],,7,34,7
DER_3,Bus1,['B'],15,,-23,15
DER_4,Bus1,"['A', 'C']",,18,21,18
DER_5,Bus2,['B'],13,,-13,13
DER_6,Bus2,['B'],,8,27,8
DER_7,Bus2,['B'],14,,-12,14
DER_8,Bus3,['C'],12,,-15,12
DER_9,Bus3,['C'],,7,16,7
DER_10,Bus3,['C'],12,,-23,12
DER_11,Bus4,['C'],12,,-15,12
DER_12,Bus4,['C'],12,,-15,12
DER_13,Bus5,['C'],,7,12,7
DER_14,Bus5,['C'],10,,-38,10
DER_15,Bus5,['C'],,7,13,7
DER_16,Bus5,['C'],,5,13,5
DER_17,Bus5,['C'],12,,-28,12
DER_18,Bus5,['C'],5,,-23,5
DER_19,Bus6,['C'],2,,-21,2
DER_20,Bus6,['C'],12,,-41,12
DER_21,Bus7,"['A', 'C']",13,,-29,13
DER_22,Bus7,['B'],,20,34,20
DER_23,Bus7,"['A', 'B', 'C']",2,,-20,2
DER_24,Bus8,"['A', 'B']",24,,-18,24
DER_25,Bus8,"['A', 'C']",19,,-22,19
DER_26,Bus8,['B'],,18,20,18
DER_27,Bus9,['A'],,8,10,8
DER_28,Bus9,['A'],9,,-15,9
DER_29,Bus9,['A'],,23,24,23
DER_30,Bus10,['A'],19,,-22,19
DER_31,Bus10,['A'],,17,29,17
DER_32,Bus11,['A'],22,,-34,22
DER_33,Bus11,['A'],19,,-10,19
DER_34,Bus11,['A'],,13,7,13
DER_35,Bus12,['B'],15,,-29,15
DER_36,Bus12,['B'],,8,13,8
DER_37,Bus12,['B'],13,,-15,13
DER_38,Bus13,"['B', 'C']",,7,17,7
DER_39,Bus14,['A'],,17,21,17
DER_40,Bus14,['A'],16,,-35,16
DER_41,Bus14,['A'],,22,10,22
DER_42,Bus15,['C'],,7,17,7
DER_43,Bus15,['C'],9,,-18,9
DER_44,Bus15,['C'],,7,37,7
DER_45,Bus15,['C'],,7,6,7
DER_46,Bus16,['C'],12,,-10,12
DER_47,Bus17,['C'],,7,31,7
DER_48,Bus17,['C'],,7,20,7
DER_49,Bus17,['C'],,7,6,7
DER_50,Bus17,['C'],12,,-19,12
DER_51,Bus17,['C'],,7,29,7
DER_52,Bus18,"['A', 'C']",7,,-13,7
DER_53,Bus18,['A'],,14,26,14
DER_54,Bus19,['A'],,13,17,13
DER_55,Bus19,['A'],,21,37,21
DER_56,Bus19,['A'],,14,33,14
DER_57,Bus19,['A'],13,,-9,13
DER_58,Bus19,['A'],,15,25,15
DER_59,Bus19,['A'],,21,38,21
DER_60,Bus20,['A'],18,,-27,18
DER_61,Bus20,['A'],18,,-26,18
DER_62,Bus21,['B'],,18,39,18
DER_63,Bus21,"['B', 'C']",,7,9,7
DER_64,Bus21,['B'],,11,14,11
DER_65,Bus21,['B'],13,,-29,13
DER_66,Bus22,['B'],7,,-20,7
DER_67,Bus22,['B'],19,,-15,19
DER_68,Bus22,['B'],13,,-15,13
DER_69,Bus22,['B'],,8,29,8
DER_70,Bus22,['B'],13,,-13,13
DER_71,Bus22,['B'],,19,29,19
DER_72,Bus22,['B'],16,,-34,16
DER_73,Bus22,['B'],13,,-38,13
DER_74,Bus23,"['B', 'C']",12,,-16,12
DER_75,Bus23,['A'],19,,-25,19
DER_76,Bus23,['C'],12,,-10,12
DER_77,Bus23,"['B', 'C']",12,,-20,12
DER_78,Bus23,['C'],,7,14,7
DER_79,Bus24,['C'],,6,22,6
DER_80,Bus24,['C'],12,,-32,12
DER_81,Bus24,['C'],12,,-19,12
DER_82,Bus24,['C'],,7,21,7
DER_83,Bus24,['C'],,7,28,7
DER_84,Bus24,['C'],12,,-14,12
