Config,A,B,C
1,0.000108333333333333375+0.000204166666666667j,0.000036931818181818125+9.50189393939394e-05j,0.000036339962121212125+7.28977272727273e-05j
1,0.000036931818181818125+9.50189393939394e-05j,0.000110464015151515125+0.000198522727272727j,0.000037405303030303+8.02272727272727e-05j
1,0.000036339962121212125+7.28977272727273e-05j,0.000037405303030303+8.02272727272727e-05j,0.00010925662878787875+0.000201723484848485j
2,0.000110464015151515125+0.000198522727272727j,0.000037405303030303+8.02272727272727e-05j,0.000036931818181818125+9.50189393939394e-05j
2,0.000037405303030303+8.02272727272727e-05j,0.00010925662878787875+0.000201723484848485j,0.000036339962121212125+7.28977272727273e-05j
2,0.000036931818181818125+9.50189393939394e-05j,0.000036339962121212125+7.28977272727273e-05j,0.000108333333333333375+0.000204166666666667j
3,0.00010925662878787875+0.000201723484848485j,0.000036339962121212125+7.28977272727273e-05j,0.000037405303030303+8.02272727272727e-05j
3,0.000036339962121212125+7.28977272727273e-05j,0.000108333333333333375+0.000204166666666667j,0.000036931818181818125+9.50189393939394e-05j
3,0.000037405303030303+8.02272727272727e-05j,0.000036931818181818125+9.50189393939394e-05j,0.000110464015151515125+0.000198522727272727j
4,0.00010925662878787875+0.000201723484848485j,0.000037405303030303+8.02272727272727e-05j,0.000036339962121212125+7.28977272727273e-05j
4,0.000037405303030303+8.02272727272727e-05j,0.000110464015151515125+0.000198522727272727j,0.000036931818181818125+9.50189393939394e-05j
4,0.000036339962121212125+7.28977272727273e-05j,0.000036931818181818125+9.50189393939394e-05j,0.000108333333333333375+0.000204166666666667j
5,0.000110464015151515125+0.000198522727272727j,0.000036931818181818125+9.50189393939394e-05j,0.000037405303030303+8.02272727272727e-05j
5,0.000036931818181818125+9.50189393939394e-05j,0.000108333333333333375+0.000204166666666667j,0.000036339962121212125+7.28977272727273e-05j
5,0.000037405303030303+8.02272727272727e-05j,0.000036339962121212125+7.28977272727273e-05j,0.00010925662878787875+0.000201723484848485j
6,0.000108333333333333375+0.000204166666666667j,0.000036339962121212125+7.28977272727273e-05j,0.000036931818181818125+9.50189393939394e-05j
6,0.000036339962121212125+7.28977272727273e-05j,0.00010925662878787875+0.000201723484848485j,0.000037405303030303+8.02272727272727e-05j
6,0.000036931818181818125+9.50189393939394e-05j,0.000037405303030303+8.02272727272727e-05j,0.000110464015151515125+0.000198522727272727j
7,0.000108333333333333375+0.000204166666666667j,0+0j,0.000036339962121212125+7.28977272727273e-05j
7,0+0j,0+0j,0+0j
7,0.000036339962121212125+7.28977272727273e-05j,0+0j,0.00010925662878787875+0.000201723484848485j
8,0.000108333333333333375+0.000204166666666667j,0.000036339962121212125+7.28977272727273e-05j,0+0j
8,0.000036339962121212125+7.28977272727273e-05j,0.00010925662878787875+0.000201723484848485j,0+0j
8,0+0j,0+0j,0+0j
9,0.00031467803030303+0.000255208333333333j,0+0j,0+0j
9,0+0j,0+0j,0+0j
9,0+0j,0+0j,0+0j
10,0+0j,0+0j,0+0j
10,0+0j,0.00031467803030303+0.000255208333333333j,0+0j
10,0+0j,0+0j,0+0j
11,0+0j,0+0j,0+0j
11,0+0j,0+0j,0+0j
11,0+0j,0+0j,0.00031467803030303+0.000255208333333333j
12,0.0003600615530303025+0.000142443181818182j,0.000123058712121212125+5.25568181818182e-05j,0.00011657196969696975+4.08522727272727e-05j
12,0.000123058712121212125+5.25568181818182e-05j,0.0003629024621212125+0.000135643939393939j,0.000123058712121212125+5.25568181818182e-05j
12,0.00011657196969696975+4.08522727272727e-05j,0.000123058712121212125+5.25568181818182e-05j,0.0003600615530303025+0.000142443181818182j
