DER Name,Bus Location,Original Bus,Phase Connection,Type,Price,Quantity,
DER_1,1,632,ABC,Bid,12,-100,0
DER_2,2,633,ABC,Bid,11,-100,0
DER_3,3,634,ABC,Bid,10,-450,0
DER_4,4,645,BC,Bid,9,-250,0
DER_5,6,671,ABC,Bid,12,-120,0
DER_6,8,684,AC,Bid,13,-200,0
DER_7,10,652,A,Bid,18,-325,1
DER_8,11,692,ABC,Bid,11,-100,0
DER_9,5,646,BC,Offer,8,175,1
DER_10,7,680,ABC,Offer,6,125,1
DER_11,7,680,ABC,Offer,18,500,0
DER_12,9,611,C,Offer,7,400,1
DER_13,10,652,A,Offer,10,125,1
DER_14,12,675,B,Offer,8,175,1
DER_15,12,675,ABC,Offer,14,600,0
