Config,A,B,C
1,0.000065625+0.000192784090909091j,0.0000295454545454545+0.0000950189393939394j,0.0000299242424242424+0.0000802272727272727j
1,0.0000295454545454545+0.0000950189393939394j,0.0000639204545454546+0.00019844696969697j,0.0000290719696969697+0.0000728977272727273j
1,0.0000299242424242424+0.0000802272727272727j,0.0000290719696969697+0.0000728977272727273j,0.0000646590909090909+0.000195984848484848j
2,0.000142537878787879+0.00022375j,0.0000299242424242424+0.0000802272727272727j,0.0000295454545454545+0.0000950189393939394j
2,0.0000299242424242424+0.0000802272727272727j,0.00014157196969697+0.000226950757575758j,0.0000290719696969697+0.0000728977272727273j
2,0.0000295454545454545+0.0000950189393939394j,0.0000290719696969697+0.0000728977272727273j,0.000140833333333333+0.000229393939393939j
3,0.000151174242424242+0.0000845265151515152j,0.0000604545454545455+0.00000621212121212121j,0.0000539583333333333-0.00000270833333333333j
3,0.0000604545454545455+0.00000621212121212121j,0.000149450757575758+0.0000765340909090909j,0.0000604545454545455+0.00000621212121212121j
3,0.0000539583333333333-0.00000270833333333333j,0.0000604545454545455+0.00000621212121212121j,0.000151174242424242+0.0000845265151515152j
4,0.3807232+0.692224j,0+0j,0+0j
4,0+0j,0.3807232+0.692224j,0+0j
4,0+0j,0+0j,0.3807232+0.692224j
5,0.000001+0.000001j,0+0j,0+0j
5,0+0j,0.000001+0.000001j,0+0j
5,0+0j,0+0j,0.000001+0.000001j
6,0.000250719696969697+0.000256988636363636j,0+0j,0.0000391287878787879+0.0000869507575757576j
6,0+0j,0+0j,0+0j
6,0.0000391287878787879+0.0000869507575757576j,0+0j,0.000251780303030303+0.000255132575757576j
7,0.000254261363636364+0.0000970454545454545j,0+0j,0+0j
7,0+0j,0+0j,0+0j
7,0+0j,0+0j,0+0j
8,0+0j,0+0j,0+0j
8,0+0j,0.000251780303030303+0.000255132575757576j,0.0000391287878787879+0.0000869507575757576j
8,0+0j,0.0000391287878787879+0.0000869507575757576j,0.000250719696969697+0.000256988636363636j
9,0+0j,0+0j,0+0j
9,0+0j,0+0j,0+0j
9,0+0j,0+0j,0.000251742424242424+0.000255208333333333j
